Hand,RAISE 25,FOLD,RAISE 25 EV,FOLD EV
Td6s,99.999994,0.00000596,11.8027735,0
Td7s,100,0,23.3962512,0
Td8s,100,0,33.8298595,0
Td9s,100,0,44.7888827,0
Jd2c,0,100,-3.7485075,0
Jd3c,0.37150399,99.6284962,-0.318656,0
Jd4c,11.4860639,88.5139346,-0.0607634,0
Jd5c,100,0,2.6877689,0
Jd6c,100,0,6.9427204,0
Jd7c,100,0,20.5190372,0
Jd8c,100,0,31.952256,0
Jd9c,100,0,48.3059064,0
JdTc,100,0,73.3754444,0
JdJc,100,0,488.269463,0
Jd2d,100,0,20.4616356,0.0000048
Jd3d,100,0,23.6317468,0.0000048
Jd4d,100,0,33.4741592,0.0000048
Jd5d,100,0,29.2851734,0.0000048
Jd6d,100,0,31.2454796,0.0000048
Jd7d,100,0,52.0715928,0.0000048
Jd8d,100,0,77.1896887,0.0000048
Jd9d,100,0,101.090593,0.0000048
JdTd,100,0,152.555208,0.0000048
Jd2h,0,100,-3.7485075,0
Jd3h,0.37150399,99.6284962,-0.318656,0
Jd4h,11.4860639,88.5139346,-0.0607634,0
Jd5h,100,0,2.6877689,0
Jd6h,100,0,6.9427204,0
Jd7h,100,0,20.5190372,0
Jd8h,100,0,31.952256,0
Jd9h,100,0,48.3059064,0
JdTh,100,0,73.3754444,0
Jd2s,0,100,-3.7485075,0
Jd3s,0.37150399,99.6284962,-0.318656,0
Jd4s,11.4860639,88.5139346,-0.0607634,0
Jd5s,100,0,2.6877689,0
Jd6s,100,0,6.9427204,0
Jd7s,100,0,20.5190372,0
Jd8s,100,0,31.952256,0
Jd9s,100,0,48.3059064,0
JdTs,100,0,73.3754444,0
Qd2c,12.1086821,87.8913164,-0.0786591,0
Qd3c,99.999994,0.00000596,1.5897751,0
Qd4c,100,0,5.5783033,0
Qd5c,100,0,9.8330021,0
Qd6c,100,0,15.0339007,0
Qd7c,100,0,18.8354254,0
Qd8c,100,0,32.896378,0
Qd9c,100,0,56.2942916,0
QdTc,100,0,71.4529276,0
QdJc,100,0,92.2445822,0
QdQc,100,0,615.208626,0
Qd2d,100,0,27.0188379,0.0000048
Qd3d,100,0,30.8124411,0.0000048
Qd4d,100,0,31.5589237,0.0000048
Qd5d,100,0,48.2169257,0.0000048
Qd6d,100,0,48.3783835,0.0000048
Qd7d,100,0,55.2222633,0.0000048
Qd8d,100,0,72.4615836,0.0000048
Qd9d,100,0,120.25754,0.0000048
QdTd,100,0,147.89835,0.0000048
QdJd,100,0,164.721956,0.0000048
Qd2h,12.1086821,87.8913164,-0.0786591,0
Qd3h,99.999994,0.00000596,1.5897751,0
Qd4h,100,0,5.5783033,0
Qd5h,100,0,9.8330021,0
Qd6h,100,0,15.0339007,0
Qd7h,100,0,18.8354254,0
Qd8h,100,0,32.896378,0
Qd9h,100,0,56.2942916,0
QdTh,100,0,71.4529276,0
QdJh,100,0,92.2445822,0
Qd2s,12.1086821,87.8913164,-0.0786591,0
Qd3s,99.999994,0.00000596,1.5897751,0
Qd4s,100,0,5.5783033,0
Qd5s,100,0,9.8330021,0
Qd6s,100,0,15.0339007,0
Qd7s,100,0,18.8354254,0
Qd8s,100,0,32.896378,0
Qd9s,100,0,56.2942916,0
QdTs,100,0,71.4529276,0
QdJs,100,0,92.2445822,0
Kd2c,100,0,9.2347574,0
Kd3c,99.999994,0.00000596,11.5338945,0
Kd4c,100,0,15.6758857,0
Kd5c,100,0,20.6822562,0
Kd6c,100,0,26.9053364,0
Kd7c,100,0,34.1876149,0
Kd8c,100,0,41.5479529,0
Kd9c,100,0,55.1921731,0
KdTc,100,0,101.163774,0
KdJc,100,0,111.513472,0
KdQc,100,0,135.866699,0
KdKc,100,0,783.069305,0
Kd2d,100,0,58.0079091,0.0000048
Kd3d,100,0,58.3625686,0.0000048
Kd4d,100,0,57.9023802,0.0000048
Kd5d,100,0,76.7812276,0.0000048
Kd6d,100,0,76.8670321,0.0000048
Kd7d,100,0,82.2467709,0.0000048
Kd8d,100,0,95.3733921,0.0000048
Kd9d,100,0,124.839664,0.0000048
KdTd,100,0,170.835466,0.0000048
KdJd,100,0,182.027235,0.0000048
KdQd,100,0,212.349358,0.0000048
Kd2h,100,0,9.2347574,0
Kd3h,99.999994,0.00000596,11.5338945,0
Kd4h,100,0,15.6758857,0
Kd5h,100,0,20.6822562,0
Kd6h,100,0,26.9053364,0
Kd7h,100,0,34.1876149,0
Kd8h,100,0,41.5479529,0
Kd9h,100,0,55.1921731,0
KdTh,100,0,101.163774,0
KdJh,100,0,111.513472,0
KdQh,100,0,135.866699,0
Kd2s,100,0,9.2347574,0
Kd3s,99.999994,0.00000596,11.5338945,0
Kd4s,100,0,15.6758857,0
Kd5s,100,0,20.6822562,0
Kd6s,100,0,26.9053364,0
Kd7s,100,0,34.1876149,0
Kd8s,100,0,41.5479529,0
Kd9s,100,0,55.1921731,0
KdTs,100,0,101.163774,0
KdJs,100,0,111.513472,0
KdQs,100,0,135.866699,0
Ad2c,100,0,30.6112719,0
Ad3c,100,0,34.7717214,0
Ad4c,100,0,43.3472258,0
Ad5c,100,0,43.297739,0
Ad6c,100,0,44.4116098,0
Ad7c,100,0,52.6742464,0
Ad8c,100,0,61.0257816,0
Ad9c,100,0,88.6548138,0
AdTc,100,0,121.189671,0
AdJc,100,0,150.950537,0
AdQc,100,0,211.046829,0
AdKc,100,0,292.33448,0
AdAc,100,0,949.772568,0
Ad2d,100,0,96.8466377,0.0000048
Ad3d,100,0,103.418431,0.0000048
Ad4d,100,0,115.712361,0.0000048
Ad5d,100,0,122.120481,0.0000048
